20055,3,4,12,18,34,10,12
20054,11,14,15,19,20,3,7
20053,2,15,18,21,27,3,6
20052,9,11,26,28,35,6,7
20051,2,7,9,19,33,1,7
20050,3,14,16,22,34,2,6
20049,3,11,15,22,30,8,10
20048,3,9,10,15,16,7,9
20047,4,18,27,28,30,3,10
20046,15,24,27,30,34,4,12
20045,2,9,16,23,27,3,8
20044,1,3,22,28,30,2,5
20043,12,13,17,31,32,1,6
20042,3,4,5,11,22,5,6
20041,7,13,20,29,34,4,7
20040,2,17,20,28,29,1,7
20039,1,5,15,22,31,2,9
20038,4,15,20,22,24,1,9
20037,1,4,10,11,14,2,5
20036,1,5,11,12,26,2,7
20035,10,11,22,26,28,2,4
20034,11,13,20,27,31,2,4
20033,7,19,20,31,34,5,8
20032,2,3,9,16,32,3,4
20031,1,2,5,15,21,4,5
20030,1,8,17,27,30,5,6
20029,11,14,17,22,30,7,9
20028,4,5,28,34,35,1,8
20027,4,7,20,25,32,3,9
20026,3,15,26,32,34,8,12
20025,2,14,21,22,26,5,7
20024,3,5,6,24,30,3,7
20023,4,11,23,26,30,1,6
20022,4,14,20,28,35,2,3
20021,10,12,24,31,33,4,9
20020,8,10,12,26,32,5,9
20019,1,12,22,23,33,1,12
20018,9,14,16,24,26,4,12
20017,1,6,7,9,10,2,11
20016,4,8,19,31,35,1,2
20015,1,7,23,24,26,3,7
20014,3,7,9,17,21,3,6
20013,1,4,5,11,35,3,9
20012,1,6,18,32,34,1,3
20011,2,13,19,22,23,2,7
20010,1,8,13,24,32,2,9
20009,19,29,31,34,35,6,10
20008,14,17,19,24,32,1,6
20007,2,10,19,24,30,5,8
20006,9,22,25,31,32,8,12
20005,6,10,33,34,35,1,3
20004,17,20,21,29,30,5,9
20003,23,25,26,30,34,3,7
20002,3,7,18,25,30,2,7
20001,17,25,26,32,34,4,7
19150,7,11,12,16,33,5,7
19149,1,2,7,33,35,6,10
19148,3,4,7,11,30,8,9
19147,9,12,19,22,33,7,8
19146,10,11,26,33,34,1,6
19145,5,9,19,22,32,3,5
19144,2,5,20,28,31,2,11
19143,4,22,23,24,32,6,12
19142,3,4,26,29,33,6,7
19141,2,10,20,21,35,1,12
19140,3,7,8,25,27,3,5
19139,1,5,7,8,11,6,10
19138,4,6,7,20,29,2,4
19137,3,5,12,13,26,7,12
19136,3,16,20,26,29,3,9
19135,4,5,19,25,26,1,11
19134,5,6,7,14,17,10,11
19133,3,12,24,27,34,1,12
19132,3,5,6,13,18,10,12
19131,5,6,14,27,29,6,10
19130,1,13,20,21,26,4,10
19129,10,13,18,23,30,6,12
19128,20,21,25,34,35,3,12
19127,4,7,8,11,16,9,11
19126,5,9,16,18,30,4,7
19125,5,8,9,14,34,2,5
19124,7,17,26,27,30,6,12
19123,3,13,15,26,30,5,12
19122,5,19,25,31,33,10,11
19121,1,2,3,7,17,4,10
19120,6,15,17,22,25,1,9
19119,3,6,9,23,34,2,11
19118,2,3,13,19,26,2,3
19117,1,18,21,25,35,7,8
19116,2,10,16,21,23,2,12
19115,1,18,21,28,32,5,12
19114,3,5,7,20,23,4,11
19113,3,11,27,34,35,1,2
19112,3,10,16,21,33,5,6
19111,6,15,20,23,27,8,10
19110,1,19,23,24,30,4,5
19109,2,7,8,20,25,11,12
19108,24,27,28,31,34,4,8
19107,5,9,19,27,35,2,3
19106,5,8,10,32,35,2,10
19105,1,4,9,14,17,1,6
19104,2,7,19,22,28,3,5
19103,5,12,22,27,32,4,7
19102,5,10,15,19,31,3,6
19101,5,11,18,19,27,5,6
19100,5,8,12,19,21,6,11
19099,4,6,18,27,33,7,9
19098,13,15,17,19,22,3,4
19097,10,17,20,30,35,10,12
19096,2,12,22,23,27,2,6
19095,3,12,17,19,31,2,6
19094,1,12,14,26,27,7,9
19093,16,17,26,29,35,1,7
19092,2,11,15,27,30,2,5
19091,4,13,20,26,28,3,12
19090,13,19,28,30,33,2,12
19089,9,14,18,33,34,3,12
19088,1,5,18,27,33,6,8
19087,5,6,18,19,27,7,12
19086,5,15,16,28,31,2,7
19085,4,5,6,15,26,8,11
19084,12,23,25,34,35,1,7
19083,17,24,26,28,32,7,9
19082,6,18,20,21,31,3,4
19081,6,24,26,30,33,2,7
19080,5,13,18,19,24,2,7
19079,10,13,16,28,35,4,5
19078,5,10,21,26,30,1,7
19077,1,15,17,21,33,7,10
19076,1,6,11,23,29,1,11
19075,5,6,7,11,16,2,11
19074,8,9,13,14,34,5,7
19073,4,11,19,20,24,8,11
19072,2,4,6,9,18,7,10
19071,7,13,14,15,22,7,11
19070,2,13,15,22,34,2,12
19069,8,22,23,33,34,4,6
19068,4,5,8,17,27,6,11
19067,3,8,11,15,16,2,10
19066,4,10,11,18,31,5,8
19065,3,8,10,23,27,2,12
19064,7,8,13,19,29,11,12
19063,5,8,15,18,21,4,8
19062,5,16,23,25,28,1,12
